year,result,school,program,full_or_part,scholarship,nationality,UGPA,graduate_gpa,GRE_Q,GRE_V,GRE_AWA,TOEFL,submitted,days_to_result,updated
2025,Accepted,Columbia University,MS in Financial Economics,Full-Time,,🇭🇰,3.42,,,,,,,50,6/23/25
2025,Accepted,TU Delft,MSc Applied Mathematics,Full-Time,,🇮🇳,4.0,,170,157,4.0,109,,106,6/23/25
2025,Rejected,University of Chicago,MS in Financial Mathematics,Full-Time,,🇮🇳,3.7,3.7,168,164,4,110,,70,6/21/25
2025,Rejected,Princeton University,Master in Finance,Full-Time,,🇮🇳,3.7,3.7,168,164,4,110,,75,6/21/25
2025,Rejected,Carnegie Mellon University,MS in Computational Finance,Full-Time,,🇮🇳,3.7,3.7,168,164,4,110,,90,6/21/25
2025,Accepted,"University of California, Los Angeles",Master of Financial Engineering,Full-Time,,🇮🇳,3.7,3.7,168,164,4,110,,35,6/21/25
2025,Accepted,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇮🇳,3.7,3.7,168,164,4,110,,160,6/21/25
2024,Rejected,Imperial College Business School,MSc Risk Management & Financial Engineering,Full-Time,,🇬🇧,3.75,3.7,,,,,,80,6/21/25
2025,Rejected,Imperial College London,MSc in Mathematics and Finance,Part-Time,,🇬🇧,3.75,3.7,,,,,,115,6/21/25
2025,Rejected,University of Oxford,MSc in Mathematical and Computational Finance,Full-Time,,🇬🇧,3.75,3.7,,,,,,170,6/21/25
2025,Enrolled,University College London,MSc Computational Finance,Full-Time,,🇬🇧,3.75,3.7,,,,,,245,6/21/25
2026,Enrolled,Fordham University,MS in Quantitative Finance,Full-Time,"$25,000",🇺🇸,3.54,,,,,,,22,6/20/25
2025,Enrolled,"University of California, Los Angeles",Master of Financial Engineering,Full-Time,,🇺🇸,3.96,,167,170,3.5,,,169,6/18/25
2025,Enrolled,North Carolina State University,Master in Financial Mathematics,Full-Time,,🇮🇳,3.1,,170,159,3,,,135,6/15/25
2025,Rejected,EPFL,Master in Financial Engineering,Full-Time,,🇮🇹,3.6,3.6,,,,,,149,6/15/25
2025,Rejected,EPFL,Master in Financial Engineering,Full-Time,,🇲🇽,3.4,,,,,,,88,6/14/25
2025,Enrolled,Columbia University,Masters in Financial Engineering,Full-Time,,🇺🇸,3.1,,165,170,5,,,146,6/13/25
2025,Accepted,EPFL,Master in Financial Engineering,Full-Time,,🇨🇭,3.8,,170,155,3.5,102,,80,6/12/25
2025,Accepted,Columbia University,Masters in Financial Engineering,Full-Time,,🇮🇳,3.5,3.5,168,149,3.5,109,,146,6/10/25
2025,Enrolled,Boston University,MS in Mathematical Finance and Financial Technology,Full-Time,"$9,000",🇺🇸,3.2,,169,159,4,,,25,6/9/25
2025,Enrolled,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇮🇳,3.27,,170,158,,,,116,6/9/25
2025,Enrolled,University of Oxford,MSc in Mathematical and Computational Finance,Full-Time,,🇹🇼,4.0,4.0,,,,,,92,6/1/25
2025,Enrolled,Yale University,Master in Asset Management,Full-Time,,🇸🇬,4.0,4.0,166,170,4.0,,,318,6/1/25
2025,Enrolled,North Carolina State University,Master in Financial Mathematics,Full-Time,,🇺🇸,3.7,,,,,,,3,5/29/25
2025,Rejected,University of Edinburgh,MSc Computational Mathematical Finance,Full-Time,,🇮🇳,2.8,3.4,,,,,,63,5/29/25
2024,Enrolled,University of Chicago,MS in Financial Mathematics,Full-Time,,🇮🇳,3.7,,,,,,,90,5/27/25
2025,Accepted,University of Chicago,MS in Financial Mathematics,Full-Time,,🇺🇸,3.9,,,,,,,40,5/27/25
2025,Enrolled,Columbia University,MA in Mathematics of Finance,Part-Time,,🇮🇳,4,,165,154,,,,12,5/25/25
2026,Rejected,"University of California, Berkeley",Master of Financial Engineering,Part-Time,,🇮🇳,4,,165,154,,,,10,5/25/25
2025,Enrolled,Carnegie Mellon University,MS in Computational Finance,Full-Time,,🇨🇳,3.77,3.77,170,159,4,,,62,5/25/25
2025,Enrolled,Massachusetts Institute of Technology,Massachusetts Institute of Technology Master of Finance,Full-Time,,🇬🇧,3.95,,,,,,,142,5/24/25
2025,Accepted,University of Chicago,MS in Financial Mathematics,Full-Time,"$37,800",🇺🇸,3.94,,167,159,5,,,40,5/24/25
2025,Accepted,University College London,MSc Financial Mathematics,Full-Time,,🇺🇸,3.94,,167,159,5,,,104,5/24/25
2025,Accepted,Columbia University,MA in Mathematics of Finance,Full-Time,,🇺🇸,3.94,,167,159,5,,,15,5/24/25
2025,Rejected,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇮🇳,3.34,,170,156,4,114,,69,5/23/25
2025,Accepted,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇮🇳,3.44,,170,159,3.5,,,161,5/23/25
2025,Accepted,Georgia Institute of Technology,MS in Quantitative and Computational Finance,Full-Time,,🇺🇸,3.97,,170,158,5.0,,,33,5/23/25
2025,Accepted,Boston University,MS in Mathematical Finance and Financial Technology,Full-Time,,🇮🇳,3.45,,,,,,,29,5/22/25
2025,Rejected,NUS,MSc in Quantitative Finance,Full-Time,,🇨🇳,3.70,,167,142,3.5,101,,179,5/21/25
2026,Enrolled,"University of California, Berkeley",Master of Financial Engineering,Full-Time,,🇸🇬,3.83,,,,,,,39,5/20/25
